modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6641934597416873;11
RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6690076335877863;22
RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7151864035087719;12
RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6521022258862325;11
RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6635114503816794;22
RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7335526315789473;12
RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6677658697444353;11
RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.683969465648855;22
RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7275219298245614;12
RSF;4;2;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6658422643583402;11
RSF;4;3;"n_estimators=100; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6659541984732824;22
RSF;4;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7236842105263158;12
RSF;4;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6663918658972245;11
RSF;4;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6595419847328244;22
RSF;4;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7258771929824561;12
RSF;4;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6499038197306952;11
RSF;4;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6613740458015267;22
RSF;4;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7297149122807017;12
RSF;4;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6746358889804891;11
RSF;4;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.673587786259542;22
RSF;4;1;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.731359649122807;12
RSF;4;2;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6658422643583402;11
RSF;4;3;"n_estimators=200; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6723664122137405;22
RSF;4;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7294407894736842;12
RSF;4;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.6573234405056334;11
RSF;4;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.669618320610687;22
RSF;4;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.7179276315789473;12
RSF;4;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6543006320417697;11
RSF;4;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=10; max_features=5";0.6674809160305344;22
RSF;4;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7297149122807017;12
RSF;4;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6746358889804891;11
